performanceId,name,stageName,startTime,endTime,description,genreList,socialList
PID-3ab510d8-98fe-46d0-b6aa-67d9ecb7fa3a,DJ Angers Guilty Pleasure,Thirsty Bar,2026-06-05 19:00,2026-06-05 20:00,,,
PID-eabb7731-4ab8-4ca5-96ad-8f3d2c80fd3b,Dodd,Ironic Spin,2026-06-05 19:00,2026-06-05 20:00,,proggy vibes,
PID-bd35d0d7-531b-4cbd-b913-0feb7cd1be32,Electric Circus Cabaret,Electric Circus Lounge,2026-06-05 19:30,2026-06-05 20:30,An assortment of various performances celebrating different art forms,Cabaret,
PID-b27f98ab-68c9-460d-b802-86b4b600274a,matt hatter,SKYBAR,2026-06-05 19:45,2026-06-05 20:30,,house,
PID-35805ce4-0d0f-4e8f-a760-b77b415dbb95,DJdafoe,Jellyfish Lounge,2026-06-05 20:00,2026-06-05 21:00,,house,
PID-920a2baf-f672-44cf-8879-f11b5d450001,Rogue Wave,Ripple Effect,2026-06-05 20:00,2026-06-05 21:00,"A bouncy, bumpin', bassy time","bass house,bass,drum & bass",
PID-32443602-fe62-4601-b8ff-0d5022e0dbb3,Fram3s,Thirsty Bar,2026-06-05 20:00,2026-06-05 21:00,,,
PID-b61e5cf5-33e8-41b5-a213-1e416928f423,NYX,Chaitrance,2026-06-05 20:00,2026-06-05 21:30,,nightpsy,
PID-f95bfe64-8709-4f45-a7ac-5d6f79e04af8,Wookie,CLuG deep n' Salty,2026-06-05 20:00,2026-06-05 21:00,,,
PID-5bab1f4d-186d-465e-b626-3273d1f37454,Trus@migo - Amit,Under The Mother Tree,2026-06-05 20:00,2026-06-05 21:00,,,
PID-9260eee4-ae23-4cf6-a057-08ec7f5ca153,Skipping School,Ironic Spin,2026-06-05 20:00,2026-06-05 21:00,,deep house,
PID-b43e27f0-377e-45bf-a20d-1d639bd02fdd,thefunkyslab,SKYBAR,2026-06-05 20:30,2026-06-05 21:30,,funky jams,
PID-890b6d24-b6ac-499d-9268-6d05f7574647,Jetane,Electric Circus Lounge,2026-06-05 20:30,2026-06-05 22:00,Electric Circus Lounge's Vision Director & Chief Builder steps up to provide a soundtrack as we enjoy the last rays of sunlight and head towards the night.,Uplifting House,https://soundcloud.com/jetane
PID-33c07a7a-0bf4-451d-9a96-e8a672ec8c19,Skez,Jellyfish Lounge,2026-06-05 21:00,2026-06-05 22:00,,"house,minimal deep,tech",
PID-d27a3515-b594-44cc-8867-7608d7b7e07c,Robbie,Ripple Effect,2026-06-05 21:00,2026-06-05 22:00,,,
PID-96312797-cc29-4633-9c45-460a857b558d,Boat Daddy,Thirsty Bar,2026-06-05 21:00,2026-06-05 22:00,,,
PID-2a0eb9e8-b7c6-4426-bfea-47448748c507,Selayne,CLuG deep n' Salty,2026-06-05 21:00,2026-06-05 22:00,,,
PID-57530169-13d7-4387-bece-fd1037c76965,Amber Wolf Moon,Under The Mother Tree,2026-06-05 21:00,2026-06-05 22:45,,,
PID-6e05830b-537b-40ba-8ddb-62ae70ab77ba,Balencia,Ironic Spin,2026-06-05 21:00,2026-06-05 22:00,,sexy sunset saus,
PID-7b31fef5-3f1e-46da-b825-64ea1ce7ae51,sassbot,SKYBAR,2026-06-05 21:30,2026-06-05 23:00,,"funky,bassy,breaksy bangers",
PID-e5660170-7190-4cad-88b6-0f610432ca37,Duendo Matka,Chaitrance,2026-06-05 21:30,2026-06-05 23:00,,"live,masala psy",
PID-00ee081c-f2b8-46e1-92d5-6e2b742bd09a,Moonbean,Electric Circus Lounge,2026-06-05 22:00,2026-06-05 23:00,Rock stars from both the past and future — Moonbean are a live hardware duo bringing psychedelic synth-punk electronica.,Psychedelic Synth-Punk Electronica,https://www.moonbeanmusic.ca/
PID-4f4ba5d9-68cb-4b9c-b725-2e52e2bd989f,Sylvain,Jellyfish Lounge,2026-06-05 22:00,2026-06-05 23:00,,"house,tech,funky",
PID-007d8208-9f54-4912-a53e-3013ba86af62,Rowly,Ripple Effect,2026-06-05 22:00,2026-06-05 23:00,,house,
PID-248b0505-0607-46c1-a359-fc54edaa0946,Jojo Dancer,Thirsty Bar,2026-06-05 22:00,2026-06-05 23:00,,,
PID-3f180489-f43b-4b78-8f96-37cf1cef079d,Mis Mar,CLuG deep n' Salty,2026-06-05 22:00,2026-06-05 23:00,,,
PID-127419cd-8dbf-4306-bd03-eafa43ee5947,Marza,Ironic Spin,2026-06-05 22:00,2026-06-05 23:00,,techno,
PID-2e6b7c8d-114b-45d8-a143-df5a4199930f,Mossy Tree (Felix),Under The Mother Tree,2026-06-05 22:45,2026-06-06 0:30,,,
PID-e7b768dd-0722-4730-a1fb-7e98aa8de0d8,grantus maximus,SKYBAR,2026-06-05 23:00,2026-06-05 23:59,,"bass house,acid house?,bangers",
PID-a10fef1f-ba02-4412-9dde-a9aec80dfe38,Andfriends,Electric Circus Lounge,2026-06-05 23:00,2026-06-06 0:00,"Cosmic house music that sounds touched by human hands — live basslines, guitars, warm percussion, and desert disco energy.",Cosmic Cowboy House,https://soundcloud.com/andfriendsmusicevents
PID-0521094d-de74-4002-b763-a835cb79c3eb,McCaffery,Jellyfish Lounge,2026-06-05 23:00,2026-06-06 0:00,,"house,minimal deep,tech",
PID-01d29a5b-c782-4e37-8436-61827769d7e9,Space Cadet,Ripple Effect,2026-06-05 23:00,2026-06-06 0:00,"Seductive, sultry, sapphic songs for sexy schemes of state overthrow.","bass house,tech house,ukg",
PID-603217a6-ad34-45c0-bf76-46341fbdcc0b,Lucy Ford,Thirsty Bar,2026-06-05 23:00,2026-06-06 0:00,,ukg,
PID-d6b9e7ac-bd13-48b1-b0a7-7c74028172c0,KachaMacha,Chaitrance,2026-06-05 23:00,2026-06-06 0:30,,west coast psy,
PID-f51f6cb7-f73e-4f9f-889c-9fb1af55f770,Matt Hatter,CLuG deep n' Salty,2026-06-05 23:00,2026-06-06 0:00,,,
PID-f405f84f-bb3d-48ac-8946-960691af5629,Caçadora,Ironic Spin,2026-06-05 23:00,2026-06-06 0:00,,garridge,
PID-396a713f-2932-406c-8363-50de26b4b3ee,barnes & barnes,SKYBAR,2026-06-06 0:00,2026-06-06 1:30,,ukg,
PID-be2e946c-0b23-4091-b098-eff369e69854,Fruit Stand,Electric Circus Lounge,2026-06-06 0:00,2026-06-06 1:00,"She'll bring the Fruity Beats, you bring the Booty Sweets!",Booty House,https://soundcloud.com/thefruitstand
PID-62673511-aa82-44ec-bb04-9a5ef970d0c2,Raine,Ripple Effect,2026-06-06 0:00,2026-06-06 1:00,Come for the bass. Stay for the revolution.,"ukg,bubstep,drum & bass",https://www.instagram.com/gabrielrainemusic/
PID-13b3b2de-6f1c-4008-8ed5-4e44cd194cf9,Wookie,Thirsty Bar,2026-06-06 0:00,2026-06-06 1:00,,,
PID-62e821b1-d6bb-4049-903b-0af3cccf3f47,BPMBabe,CLuG deep n' Salty,2026-06-06 0:00,2026-06-06 1:00,,,
PID-97b81ad4-de00-45a9-a2d5-2a45c7a32c34,Entelechy,Ironic Spin,2026-06-06 0:00,2026-06-06 1:00,,,
PID-3f1d3e68-4786-4ee9-b1a4-45c411296f50,Epinoia,Chaitrance,2026-06-06 0:30,2026-06-06 2:00,,"live,darkpsy,hitech",
PID-b8f19c8a-86e2-4ff3-bf63-5717c5a0901c,Syd Deerwalker,Under The Mother Tree,2026-06-06 0:30,2026-06-06 2:15,,,
PID-2ed2a9a7-d683-4086-82b5-7e418bfc3f98,Daddy Dylan,Electric Circus Lounge,2026-06-06 1:00,2026-06-06 2:00,Daddy Dylan is out on the town tonight and he's gonna give it to you Deep,Deep House,
PID-d6fcc197-e573-444a-9a74-87906cc365aa,A-bot,Ripple Effect,2026-06-06 1:00,2026-06-06 2:00,Head bang bass face ass throw,"dubstep,trap,bass",
PID-e169c5b0-bc78-42e1-856e-1381147486d7,Guru,Thirsty Bar,2026-06-06 1:00,2026-06-06 2:00,,,
PID-8ae67e3a-a19b-44d6-8ad4-52ebf706168b,Boomtown,CLuG deep n' Salty,2026-06-06 1:00,2026-06-06 2:00,,,
PID-a68f9a18-5e7a-429f-8f58-cd6b0e74671b,R|V^H,Ironic Spin,2026-06-06 1:00,2026-06-06 2:00,,deep techno,
PID-1f7554f6-0f1f-4b23-ae5e-e7ee72476f2f,Löblová,SKYBAR,2026-06-06 1:30,2026-06-06 2:30,,"ukg,breaks",
PID-6df1f9d2-3d90-4d20-b8d9-5106f1069984,Michael McCaffery,Electric Circus Lounge,2026-06-06 2:00,2026-06-06 3:30,"Emerging from the depths of moistness, this legendary ancient Jellyfish DJ is here to bring house and deep tech.","House,Deep Tech",
PID-0662a5a9-338d-41fa-b692-60a5c1f07162,Aspa Syava,Chaitrance,2026-06-06 2:00,2026-06-06 3:30,,darkpsy,
PID-5bce228f-8ad6-454e-959e-aef34d8b19ec,Nautika,CLuG deep n' Salty,2026-06-06 2:00,2026-06-06 3:00,,,
PID-bf3d6ad5-067e-423f-91f5-0bd6fc483b76,Transient,Ironic Spin,2026-06-06 2:00,2026-06-06 3:00,,vibey late night house,
PID-bd89973d-4231-41c0-8ea8-8eedf5136af9,Arctic Fox - Tove ending with soundbath,Under The Mother Tree,2026-06-06 2:15,2026-06-06 3:30,,,
PID-44b31158-7c4b-4a1d-871e-690e765dd30e,High Pivot,SKYBAR,2026-06-06 2:30,2026-06-06 3:30,,"breaks,techno",
PID-b46f8158-44b9-45c4-ac50-2bb30ddc2729,KHAN,SKYBAR,2026-06-06 3:30,2026-06-06 5:00,,deep house,
PID-d7a2fb1e-8712-492f-b94c-2baaddba55a2,Qi Gong With Ben David Wittock,Boobs & Berries,2026-06-06 10:30,2026-06-06 11:45,,,
PID-3e26a5b5-bf96-447f-a295-df7ec0486b67,Francine Thai Massage Stretch,Ironic Spin,2026-06-06 10:30,2026-06-06 12:00,,,
PID-54a031aa-7751-4dd0-8f29-82c3820c2131,Spruce Lee (Ecstatic Dance),Under The Mother Tree,2026-06-06 11:00,2026-06-06 12:30,,,
PID-79751d57-ba9d-4c23-8c91-17be94ebd330,Gentle Yoga For Tired Bodies,Boobs & Berries,2026-06-06 11:45,2026-06-06 13:00,,,
PID-d16f0e74-b06f-4fd0-8b1f-c0e1c0d952b7,Jetane,Electric Circus Lounge,2026-06-06 12:00,2026-06-06 14:00,"Beautiful Balearic downtempo, warm sunrise grooves and emotional coastal rhythms.",Balearic,https://soundcloud.com/jetane
PID-a8ce232c-ee41-42ac-b913-550b1fc1cf6a,5D Yoga – Rachelle & Gano,Jellyfish Lounge,2026-06-06 12:00,2026-06-06 13:00,,,
PID-3327390b-8ddc-4fe3-a40b-89aadb49f9c4,Reggae Wake & Bake,Thirsty Bar,2026-06-06 12:00,2026-06-06 13:00,,,
PID-4247312b-c0b9-47d5-a84b-d4b724452523,Dmana,Chaitrance,2026-06-06 12:00,2026-06-06 13:30,,psytech,
PID-8b377533-c40f-4ca4-ad62-75d3792fd9f4,Jane Dawnda / Brooks,Ironic Spin,2026-06-06 12:00,2026-06-06 13:00,,disco house,
PID-ee037a95-b2ae-48d3-8ec6-c295c913a615,Khan,Jellyfish Lounge,2026-06-06 13:00,2026-06-06 14:00,,house,
PID-449b9096-1aa4-4748-b438-72bca3d0e2c5,Matty Reed,Boobs & Berries,2026-06-06 13:00,2026-06-06 14:00,,,
PID-10481e46-3795-4234-a740-e8e21d9f7b3c,Beats n Teats,Thirsty Bar,2026-06-06 13:00,2026-06-06 14:00,,,
PID-738328ba-73be-40ce-8b88-be274e164096,Akela,Ironic Spin,2026-06-06 13:00,2026-06-06 14:00,,80s dnb remixes,
PID-c63cdb26-862b-4412-9791-e838fa38833c,Wookie,Chaitrance,2026-06-06 13:30,2026-06-06 15:00,,dark prog,
PID-b6ecabb5-402c-46ea-91e7-388b8230384b,Open Mic 3:33min,Electric Circus Lounge,2026-06-06 14:00,2026-06-06 15:00,"Open Mic style. Bring your 3:33-minutes of dance, song, comedy, puppetry, strange ritual, or whatever else you have.",Performance Hour,
PID-c40ef46c-21e8-46fe-ad84-10a2ec8d3beb,Late Night Guest,Jellyfish Lounge,2026-06-06 14:00,2026-06-06 15:00,,house,
PID-59f32564-7923-4b50-823b-6a9984089b16,Gambler,Boobs & Berries,2026-06-06 14:00,2026-06-06 15:00,,,
PID-8910ffd3-3ba3-4dc1-9886-e485c239eb6b,Skullyboy/Skatie,Thirsty Bar,2026-06-06 14:00,2026-06-06 15:00,,,
PID-9f85ec08-782b-4473-ae4c-31700795f746,NITRO MATE LOUNGE + Samu & ???,CLuG deep n' Salty,2026-06-06 14:00,2026-06-06 16:00,,,
PID-183a38ab-84e9-4491-97f0-18504ad11c39,Andfriends,Ironic Spin,2026-06-06 14:00,2026-06-06 15:00,,"disco,italo house",
PID-c80e2543-7c8a-4bf8-88bf-74fdc5c94783,Electric Circus DJ Power Hour,Electric Circus Lounge,2026-06-06 15:00,2026-06-06 17:00,Anything goes with the stable of Electric Circus DJs jockeying on the 1's and 2's - make a request and see what happens!,DJ Power Hour,
PID-db113c5d-d194-4f57-8ad3-0ed98652340f,Thirrrsty Takeover,Jellyfish Lounge,2026-06-06 15:00,2026-06-06 17:00,,"house,tech",
PID-27987cd0-6478-4d8e-a2b9-72bde03efc43,LooksGood,Ripple Effect,2026-06-06 15:00,2026-06-06 16:00,Come to ripple for some fishy tunes and maybe some snails,"funk,disco,house",
PID-6a0c0cb9-6c1f-4072-94be-86974432d24a,Revi,Boobs & Berries,2026-06-06 15:00,2026-06-06 16:00,,,
PID-cff16a74-769d-4ec1-9fa7-77ccc54305f1,OhmBass,Thirsty Bar,2026-06-06 15:00,2026-06-06 16:00,,,
PID-93be8336-66fc-4007-8b24-7a5619659e85,Zu,Chaitrance,2026-06-06 15:00,2026-06-06 16:30,,psyfunk,
PID-fd88c750-3ece-480e-942c-07bdf90313b2,ukg jam - Entelechy & Caçadora,Ironic Spin,2026-06-06 15:00,2026-06-06 16:00,,ukg daytime,
PID-0b6d9ebc-cd83-4faa-bc07-5d411e741171,AAron b2b Just Jared,Ripple Effect,2026-06-06 16:00,2026-06-06 17:00,"An Orcar & Ripple Effect collab! The pod brings the car, we bring the bass.","house,garage",
PID-36cdf4e4-9191-4c92-a204-537b96fc041b,Tassels,Boobs & Berries,2026-06-06 16:00,2026-06-06 17:00,,,
PID-33306611-2a33-47bf-9918-58a537dadd68,Random Citizen/Norasea,Thirsty Bar,2026-06-06 16:00,2026-06-06 17:00,,,
PID-939892de-203f-4056-9f02-0b9ecff03448,Booty Crocker’s Cake Sit,CLuG deep n' Salty,2026-06-06 16:00,2026-06-06 19:00,,,
PID-416996a5-beca-4c3c-b87e-b8c8ad5896f7,ukg jam - Rhythmicon & Space Tiger,Ironic Spin,2026-06-06 16:00,2026-06-06 17:00,,ukg daytime,
PID-6fa5d4c6-5121-402b-8f7b-0886143bab0d,Johnny,Chaitrance,2026-06-06 16:30,2026-06-06 18:00,,progressive,
PID-7f9eea23-4ca1-445b-9170-333efc4c4ad8,Asha Marie (World Tree Alchemy Dance),Under The Mother Tree,2026-06-06 16:30,2026-06-06 18:30,,,
PID-4bdc8b0b-a813-456e-a583-3ca261af33eb,Matty Reed,Electric Circus Lounge,2026-06-06 17:00,2026-06-06 18:00,Host of B-Side Radio's Funkin' Brunch People is bringing Funky House to the Electric Circus Lounge!,Funky House,https://soundcloud.com/mattytude
PID-20945248-247d-4fd9-8b9b-3b981f916542,AndFriends,Jellyfish Lounge,2026-06-06 17:00,2026-06-06 18:00,,house,
PID-df454a16-4f40-45ca-a62b-68181280ebcb,PrayTell,Ripple Effect,2026-06-06 17:00,2026-06-06 18:00,Wind your way through worldly wavelengths,"organic,fusion edm",
PID-f9441780-91d3-438a-81d0-a4ff3e36a755,Boat Daddy,Boobs & Berries,2026-06-06 17:00,2026-06-06 18:00,,,
PID-870e311e-60d6-4163-9b0b-3d88bdce3309,Spyne,Thirsty Bar,2026-06-06 17:00,2026-06-06 18:00,,,
PID-3a916f87-946f-4a69-a377-f3bb5563969c,ukg jam - S.O.S,Ironic Spin,2026-06-06 17:00,2026-06-06 18:00,,ukg daytime,
PID-1ad8866b-4d37-4a2f-9d17-65745078ee6a,Curated Live Jam Session,Electric Circus Lounge,2026-06-06 18:00,2026-06-06 19:00,,Curated Live Jam Session,https://gatormusic.bandcamp.com/
PID-ba939800-5b12-402a-9d03-4bddf7387b27,Vic Drip Takeover,Jellyfish Lounge,2026-06-06 18:00,2026-06-06 20:00,,house,
PID-fe531256-4d5c-4294-96ae-0aaab51590ea,Queer FamJam babe2babe,Ripple Effect,2026-06-06 18:00,2026-06-06 19:00,"A feel-good collaboration in celebration of chosen family, dance music, and queerness!","house,disco,synthpop,love",
PID-4a818f5b-0956-42d7-b3f2-d3c1cbcc7966,Guru,Boobs & Berries,2026-06-06 18:00,2026-06-06 19:00,,,
PID-d533a0c0-8e05-4731-813f-d8fb8efcd756,Akela,Thirsty Bar,2026-06-06 18:00,2026-06-06 19:00,,,
PID-d45aed35-9357-4894-a312-0ff4a0f547e8,Space Mantra,Chaitrance,2026-06-06 18:00,2026-06-06 19:30,,psytrance,
PID-5441e816-c308-4aa6-85d2-dbb6b015ac75,ukg -> wubz Sprdk,Ironic Spin,2026-06-06 18:00,2026-06-06 19:00,,ukg to wubz,
PID-84e7cef2-5f10-496b-a6b1-126e121fe117,Dream Fish / Tali,Under The Mother Tree,2026-06-06 18:30,2026-06-06 21:00,,,
